year,state_FIPS,county_FIPS,state,county,dvoteswing_inc,dpct_grants,dpc_income,inc_ad_diff,inc_campaign_diff,dhousevote_inc,iraq_cas2004,iraq_cas2008,dpct_popl,comp_state,state_abb
1996,1,19,Alabama,Cherokee County,-1.529998779,-1.218928769,0.429008484,0.423000008,0,-50.86414719,0,0,0.109310739,0,AL
2000,1,19,Alabama,Cherokee County,-13.36000061,5.597546324,-0.045063019,0,0,-5.406677246,0,0,0.074418187,0,AL
2004,1,19,Alabama,Cherokee County,11.79000092,4.951940477,0.672950745,0,0,10.16020203,0,0,0.009894815,0,AL
2008,1,19,Alabama,Cherokee County,9.932106018,-26.77776217,-0.001819611,0.002,0,-6.621932983,0,0,0.005022436,0,AL
1988,1,21,Alabama,Chilton County,1.88999939,-1.051000878,0.279056549,-0.939999998,0,-8.455833435,0,0,0.03957529,0,AL
1992,1,21,Alabama,Chilton County,-7.479999542,34.12813246,0.452754974,2.700000048,1,-9.46267128,0,0,0.036923554,0,AL
1996,1,21,Alabama,Chilton County,2.520000458,-54.25450206,-0.066825867,0.423000008,0,-15.17992401,0,0,0.088469692,0,AL
2000,1,21,Alabama,Chilton County,-8.040000916,-12.78188527,-0.328115463,0,0,-41.8972168,0,0,0.090876684,0,AL
2004,1,21,Alabama,Chilton County,9.569999695,-52.41286755,0.705932617,0,0,0,0,0,0.034916166,0,AL
2008,1,21,Alabama,Chilton County,1.920455933,8.461173624,-0.599914551,0.002,0,0,0,1,0.037065826,0,AL
1988,1,23,Alabama,Choctaw County,-3.029998779,-55.1563859,0.165304184,-0.939999998,0,-8.455833435,0,0,-0.008484775,0,AL
1992,1,23,Alabama,Choctaw County,-7.190002441,8.604394644,0.425228119,2.700000048,1,-9.46267128,0,0,-0.01644717,0,AL
1996,1,23,Alabama,Choctaw County,4.61000061,-7.665908337,-0.578304291,0.423000008,0,-4.557487488,0,0,0.001604344,0,AL
2000,1,23,Alabama,Choctaw County,-10.10000229,43.82117391,-0.54785347,0,0,-23.73429108,0,0,-0.02353376,0,AL
2004,1,23,Alabama,Choctaw County,4.86000061,-2.451501414,0.158374786,0,0,24.96409988,0,0,-0.060315456,0,AL
2008,1,23,Alabama,Choctaw County,-0.39257431,51.32895112,-0.519292831,0.002,0,0,0,0,-0.054451458,0,AL
1988,1,25,Alabama,Clarke County,-1.010002136,-18.00875366,0.65605545,-0.939999998,0,-40.27629089,0,0,-0.013243116,0,AL
1992,1,25,Alabama,Clarke County,-5.269996643,7.020435482,0.288167953,2.700000048,1,-37.92675018,0,0,0.009203916,0,AL
1996,1,25,Alabama,Clarke County,2.480003357,19.2388162,0.88209343,0.423000008,0,1.758815765,0,0,-6.90E-04,0,AL
2000,1,25,Alabama,Clarke County,-6.380001068,-38.08909953,0.296941757,0,0,0,0,0,0.011998691,0,AL
2004,1,25,Alabama,Clarke County,3.119998932,-10.53657904,0.837200165,0,0,1.603942871,0,0,-0.031940501,0,AL
2008,1,25,Alabama,Clarke County,-3.467453003,29.57900167,-0.02816391,0.002,0,31.84401703,0,0,-0.02523753,0,AL
1988,1,27,Alabama,Clay County,-1.629997253,4.880112782,0.609230042,-0.939999998,0,-19.43301392,0,0,-0.029340748,0,AL
1992,1,27,Alabama,Clay County,-10.61000061,-21.93419337,0.685287476,2.700000048,1,11.97232056,0,0,0.011985527,0,AL
1996,1,27,Alabama,Clay County,4.090000153,-1.51248062,-0.242349625,0.423000008,0,-15.17992401,0,0,0.02301676,0,AL
2000,1,27,Alabama,Clay County,-10.63999939,-1.377414074,-0.874181747,0,0,-41.8972168,0,0,0.03859036,0,AL
2004,1,27,Alabama,Clay County,6.430000305,15.55119306,1.176265717,0,0,10.16020203,0,0,-0.022784634,0,AL
2008,1,27,Alabama,Clay County,3.22517395,9.014608711,-0.988105774,0.002,0,-6.621932983,0,0,-0.009469833,0,AL
1988,1,29,Alabama,Cleburne County,-3.520004272,59.23889279,0.788858414,-0.939999998,0,-19.43301392,0,0,0.009105305,0,AL
1992,1,29,Alabama,Cleburne County,-15.86999512,101.8739939,-0.84029007,2.700000048,1,11.97232056,0,0,0.008238525,0,AL
1996,1,29,Alabama,Cleburne County,-1.209999084,53.49846482,-0.87077713,0.423000008,0,-15.17992401,0,0,0.031439688,0,AL
2000,1,29,Alabama,Cleburne County,-12.40999985,-13.97382319,-1.069774628,0,0,-41.8972168,0,0,0.068054929,0,AL
2004,1,29,Alabama,Cleburne County,9.150001526,10.29691845,1.910657883,0,0,10.16020203,0,0,0.007629274,0,AL
2008,1,29,Alabama,Cleburne County,5.845451355,-31.9254756,-0.356515884,0.002,0,-6.621932983,0,0,0.033090297,0,AL
1988,1,31,Alabama,Coffee County,-3.430000305,-6.696662307,0.696958542,-0.939999998,0,33.30132294,0,0,0.011381427,0,AL
1992,1,31,Alabama,Coffee County,-10.51000214,38.29536438,0.407566071,2.700000048,1,-0.485710144,0,0,0.018919384,0,AL
1996,1,31,Alabama,Coffee County,-3.369998932,-7.550734282,0.322916031,0.423000008,0,9.501459122,0,0,0.040005788,0,AL
2000,1,31,Alabama,Coffee County,-5.400001526,33.47720206,-0.462287903,0,0,-0.704433441,0,0,0.009552958,0,AL
2004,1,31,Alabama,Coffee County,8.840003967,11.34751141,1.128643036,0,0,1.548606873,2,0,0.026917776,0,AL
2008,1,31,Alabama,Coffee County,0.230827332,22.0231846,-0.454189301,0.002,0,-19.85070801,0,3,0.068460368,0,AL
1988,1,33,Alabama,Colbert County,-3.61000061,-4.428558424,1.220355988,-0.939999998,0,13.83374596,0,0,-0.028172469,0,AL
1992,1,33,Alabama,Colbert County,-2.979999542,27.02695429,0.360376358,2.700000048,1,-0.108181,0,0,0.025727157,0,AL
1996,1,33,Alabama,Colbert County,-5.009998322,-3.699840233,0.478818893,0.423000008,0,6.384544373,0,0,0.025290098,0,AL
2000,1,33,Alabama,Colbert County,-5.119998932,31.44884408,0.131256104,0,0,30.27384949,0,0,0.01589646,0,AL
2004,1,33,Alabama,Colbert County,5.5,-17.48694628,-0.034292221,0,0,1.732154846,0,0,-0.010849811,0,AL
2008,1,33,Alabama,Colbert County,4.858032227,-12.93686628,-0.006372452,0.002,0,48.46556854,0,0,0.003656273,0,AL
1988,1,35,Alabama,Conecuh County,-4.520000458,3.241983056,0.319070816,-0.939999998,0,33.30132294,0,0,-0.046036988,0,AL
1992,1,35,Alabama,Conecuh County,-8.020000458,22.64823318,0.737272263,2.700000048,1,-0.485710144,0,0,-0.014539915,0,AL
1996,1,35,Alabama,Conecuh County,1.950000763,9.543181211,0.001714706,0.423000008,0,9.501459122,0,0,0.015808333,0,AL
2000,1,35,Alabama,Conecuh County,-7.340000153,49.31245148,-0.025104523,0,0,-0.704433441,0,0,-0.02891133,0,AL
2004,1,35,Alabama,Conecuh County,5.380001068,-7.950469106,0.770751953,0,0,1.548606873,0,0,-0.057122506,0,AL
2008,1,35,Alabama,Conecuh County,-4.246204376,75.11566281,0.476091385,0.002,0,-19.85070801,0,0,-0.015108022,0,AL
1988,1,37,Alabama,Coosa County,-2.819999695,13.47274184,0.646587372,-0.939999998,0,-19.43301392,0,0,-0.014682327,0,AL
1992,1,37,Alabama,Coosa County,-10.54000092,-0.901353918,0.943582535,2.700000048,1,11.97232056,0,0,0.009392215,0,AL
1996,1,37,Alabama,Coosa County,1.059997559,21.42158449,0.921676636,0.423000008,0,-15.17992401,0,0,0.060570814,0,AL
2000,1,37,Alabama,Coosa County,-8.309997559,30.97044528,0.43885994,0,0,-41.8972168,0,0,-9.28E-04,0,AL
2004,1,37,Alabama,Coosa County,5.470001221,12.11231053,0.96685791,0,0,10.16020203,0,0,-0.05800895,0,AL
2008,1,37,Alabama,Coosa County,0.280200958,2.831187285,-0.108221054,0.002,0,-6.621932983,0,0,-0.038723558,0,AL
1988,1,39,Alabama,Covington County,-4.400001526,10.18849537,-0.019048691,-0.939999998,0,33.30132294,0,0,-0.010623919,0,AL
1992,1,39,Alabama,Covington County,-10.13999939,18.18279922,0.511655807,2.700000048,1,-0.485710144,0,0,0.009590426,0,AL
1996,1,39,Alabama,Covington County,0.700000763,-19.85950917,0.043611526,0.423000008,0,9.501459122,0,0,0.020108255,0,AL
2000,1,39,Alabama,Covington County,-9.819999695,12.06691265,0.056045532,0,0,-0.704433441,0,0,-0.005385615,0,AL
2004,1,39,Alabama,Covington County,9.589996338,29.46665287,0.631799698,0,0,1.548606873,0,0,-0.031154975,0,AL
2008,1,39,Alabama,Covington County,2.874992371,-10.14998928,0.133918762,0.002,0,-19.85070801,0,0,0.008920213,0,AL
1988,1,41,Alabama,Crenshaw County,-4.369998932,31.85735047,1.682403564,-0.939999998,0,33.30132294,0,0,-0.004749568,0,AL
1992,1,41,Alabama,Crenshaw County,-9.459999084,34.39611197,0.995695114,2.700000048,1,-0.485710144,0,0,-0.0230658,0,AL
1996,1,41,Alabama,Crenshaw County,2.140003204,74.18903708,0.430364609,0.423000008,0,9.501459122,0,0,0.004810895,0,AL
2000,1,41,Alabama,Crenshaw County,-11.92000198,7.252317667,-0.157812119,0,0,-0.704433441,0,0,0.008839128,0,AL
2004,1,41,Alabama,Crenshaw County,9.899997711,-0.590102514,2.047637939,0,0,1.548606873,0,0,-0.006863318,0,AL
2008,1,41,Alabama,Crenshaw County,0.021835327,95.31779885,-0.497812271,0.002,0,-19.85070801,0,0,0.006175562,0,AL
1988,1,43,Alabama,Cullman County,-2.159999847,-38.90092373,0.724733353,-0.939999998,0,-22.5043602,0,0,0.034586117,0,AL
1992,1,43,Alabama,Cullman County,-4.799999237,24.09417033,0.632513046,2.700000048,1,29.76947975,0,0,0.049401805,0,AL
1996,1,43,Alabama,Cullman County,-2.030002594,2.120396495,-0.078722,0.423000008,0,-50.86414719,0,0,0.063082911,0,AL
2000,1,43,Alabama,Cullman County,-6.259998322,17.33958125,-0.782804489,0,0,-5.406677246,0,0,0.043892462,0,AL
2004,1,43,Alabama,Cullman County,10.66999817,3.032885492,0.97032547,0,0,-25.16876221,0,0,0.0145785,0,AL
2008,1,43,Alabama,Cullman County,6.202911377,-11.53962463,-0.731599808,0.002,0,4.596984863,0,2,0.035662107,0,AL
1988,1,45,Alabama,Dale County,-3.529998779,2.164036222,-0.610469818,-0.939999998,0,33.30132294,0,0,0.046815898,0,AL
1992,1,45,Alabama,Dale County,-11.28000259,20.85674256,0.464769363,2.700000048,1,-0.485710144,0,0,-0.0160526,0,AL
1996,1,45,Alabama,Dale County,-2.220001221,-14.31847662,-0.101394653,0.423000008,0,9.501459122,0,0,-0.005959906,0,AL
2000,1,45,Alabama,Dale County,-4.690000534,29.87049222,-0.375303268,0,0,-0.704433441,0,0,-0.009447674,0,AL
2004,1,45,Alabama,Dale County,6.880004883,-0.61438703,1.047449112,0,0,1.548606873,1,0,-0.007683215,0,AL
2008,1,45,Alabama,Dale County,-2.710403442,-14.39708769,-0.071464539,0.002,0,-19.85070801,0,4,-0.005976464,0,AL
1988,1,47,Alabama,Dallas County,-2.539997101,14.86291736,0.460039139,-0.939999998,0,-8.455833435,0,0,-0.068665504,0,AL
1992,1,47,Alabama,Dallas County,-4.049999237,14.94359076,0.435216904,2.700000048,1,-9.46267128,0,0,-0.034810446,0,AL
1996,1,47,Alabama,Dallas County,1.460002899,-9.303899854,-0.26616478,0.423000008,0,-4.557487488,0,0,-0.012369629,0,AL
2000,1,47,Alabama,Dallas County,-1.540000916,13.03122193,0.575405121,0,0,-23.73429108,0,0,-0.024626693,0,AL
2004,1,47,Alabama,Dallas County,-0.529998779,-11.50810421,1.214681625,0,0,24.96409988,0,0,-0.048807953,0,AL
2008,1,47,Alabama,Dallas County,-6.90071106,70.01180053,0.066862106,0.002,0,0,0,0,-0.029594555,0,AL
1988,1,49,Alabama,DeKalb County,-1.630001068,6.956470758,0.80768013,-0.939999998,0,-22.5043602,0,0,2.95E-04,0,AL
1992,1,49,Alabama,DeKalb County,-4.959999084,-0.962199364,0.825090408,2.700000048,1,29.76947975,0,0,0.050199393,0,AL
1996,1,49,Alabama,DeKalb County,-3.959999084,-2.7797563,0.43680191,0.423000008,0,-50.86414719,0,0,0.061090309,0,AL
2000,1,49,Alabama,DeKalb County,-4.489997864,-11.84810475,0.185348511,0,0,-5.406677246,0,0,0.070910238,0,AL
2004,1,49,Alabama,DeKalb County,5.939994812,14.77591097,1.051027298,0,0,-25.16876221,0,0,0.029951422,0,AL
2008,1,49,Alabama,DeKalb County,5.597450256,31.88258708,-0.625925064,0.002,0,4.596984863,0,0,0.03484844,0,AL
1988,1,51,Alabama,Elmore County,-2.900001526,11.07278392,0.339309692,-0.939999998,0,-19.43301392,0,0,0.069626302,0,AL
1992,1,51,Alabama,Elmore County,-6.080001831,13.65624517,0.574014664,2.700000048,1,11.97232056,0,0,0.09142679,0,AL
1996,1,51,Alabama,Elmore County,-1.86000061,-17.27166176,0.56020546,0.423000008,0,9.501459122,0,0,0.122919604,0,AL
2000,1,51,Alabama,Elmore County,-5.150001526,65.27114511,0.373073578,0,0,-0.704433441,0,0,0.12313249,0,AL
2004,1,51,Alabama,Elmore County,5.709999084,4.288728163,0.101707458,0,0,1.548606873,0,0,0.076189041,0,AL
2008,1,51,Alabama,Elmore County,-1.664138794,-29.43244874,-0.059648514,0.002,0,-19.85070801,0,0,0.096091248,0,AL
1988,1,53,Alabama,Escambia County,-6.420001984,19.87239122,-0.471225739,-0.939999998,0,-40.27629089,0,0,-0.03144503,0,AL
1992,1,53,Alabama,Escambia County,-7.549999237,1.264747698,2.67E-05,2.700000048,1,-37.92675018,0,0,1.38E-04,0,AL
1996,1,53,Alabama,Escambia County,2.470001221,-3.019008785,0.305221558,0.423000008,0,1.758815765,0,0,0.031387664,0,AL
2000,1,53,Alabama,Escambia County,-7.810001373,32.04585016,0.669837952,0,0,0,0,0,0.025146823,0,AL
2004,1,53,Alabama,Escambia County,8.399997711,-13.30664456,0.883241653,0,0,1.603942871,0,0,-0.013384719,0,AL
2008,1,53,Alabama,Escambia County,-4.655899048,-23.23817015,0.398332596,0.002,0,31.84401703,0,1,-0.009396115,0,AL
1988,1,55,Alabama,Etowah County,-0.130001068,6.18015267,0.588012695,-0.939999998,0,-22.5043602,0,0,-0.015433939,0,AL
1992,1,55,Alabama,Etowah County,-4.150001526,27.1606952,0.839321136,2.700000048,1,29.76947975,0,0,0.002203955,0,AL
1996,1,55,Alabama,Etowah County,-2.420001984,-6.637632847,0.20217514,0.423000008,0,-50.86414719,0,0,0.020931154,0,AL
2000,1,55,Alabama,Etowah County,-6.380001068,13.94463629,0.370725632,0,0,-5.406677246,0,0,0.002425701,0,AL
2004,1,55,Alabama,Etowah County,9.049999237,6.675249338,0.527162552,0,0,-25.16876221,1,0,-0.006349637,0,AL
2008,1,55,Alabama,Etowah County,5.602851868,1.236551348,-0.200511932,0.002,0,4.596984863,0,1,0.007578636,0,AL
1988,1,57,Alabama,Fayette County,-7.100002289,-29.80441749,0.507139206,-0.939999998,0,-22.5043602,0,0,-0.050832421,0,AL
1992,1,57,Alabama,Fayette County,-9.180000305,49.14371073,0.967916489,2.700000048,1,29.76947975,0,0,2.75E-04,0,AL
1996,1,57,Alabama,Fayette County,-0.069999695,-0.832782406,-0.012817383,0.423000008,0,-50.86414719,0,0,0.007530783,0,AL
2000,1,57,Alabama,Fayette County,-11.38000107,8.78912285,-0.176773071,0,0,-5.406677246,0,0,0.006928911,0,AL
2004,1,57,Alabama,Fayette County,9.75,8.597695082,0.006486893,0,0,-25.16876221,0,0,-0.024815777,0,AL
2008,1,57,Alabama,Fayette County,5.037025452,4.919302091,-0.460975647,0.002,0,4.596984863,0,0,-0.023391487,0,AL
1988,1,59,Alabama,Franklin County,-2.630001068,5.913855508,0.165693283,-0.939999998,0,-22.5043602,0,0,-0.015071354,0,AL
1992,1,59,Alabama,Franklin County,-6.309997559,27.26452351,1.294294357,2.700000048,1,29.76947975,0,0,0.013464325,0,AL
1996,1,59,Alabama,Franklin County,-2.340000153,-51.3276875,0.304224014,0.423000008,0,-50.86414719,0,0,0.056942604,0,AL
2000,1,59,Alabama,Franklin County,-9.130001068,-10.38567349,-0.459823608,0,0,-5.406677246,0,0,0.029593216,0,AL
2004,1,59,Alabama,Franklin County,6.92999649,8.308992535,0.974546432,0,0,-25.16876221,0,0,-0.021629069,0,AL
2008,1,59,Alabama,Franklin County,6.869312286,10.03498212,-0.83055687,0.002,0,4.596984863,0,1,0.016965251,0,AL
1988,1,61,Alabama,Geneva County,-5.040000916,-1.900615357,1.105890274,-0.939999998,0,33.30132294,0,0,-0.011671199,0,AL
1992,1,61,Alabama,Geneva County,-10.77999878,33.13466907,1.162023544,2.700000048,1,-0.485710144,0,0,0.024633879,0,AL
1996,1,61,Alabama,Geneva County,-2.61000061,8.589716256,-0.071048737,0.423000008,0,9.501459122,0,0,0.038334437,0,AL
2000,1,61,Alabama,Geneva County,-10.59000015,3.830186278,-1.19119072,0,0,-0.704433441,0,0,0.026018459,0,AL
2004,1,61,Alabama,Geneva County,9.379997253,12.57701218,0.105583191,0,0,1.548606873,0,0,-0.012873206,0,AL
2008,1,61,Alabama,Geneva County,1.768669128,19.15838718,-0.221014023,0.002,0,-19.85070801,0,0,0.020150837,0,AL
1988,1,63,Alabama,Greene County,-2.900001526,54.78771329,0.224889755,-0.939999998,0,-8.455833435,0,0,-0.056271125,0,AL
1992,1,63,Alabama,Greene County,-6.88999939,-22.52619565,0.139627457,2.700000048,1,-9.46267128,0,0,-0.005807763,0,AL
1996,1,63,Alabama,Greene County,-1.180000305,-7.259482145,-0.112730026,0.423000008,0,-4.557487488,0,0,-0.012559634,0,AL
2000,1,63,Alabama,Greene County,-1.099998474,-4.399520159,0.616262436,0,0,-23.73429108,0,0,-0.019325577,0,AL
2004,1,63,Alabama,Greene County,0.770000458,-19.79208291,2.189222336,0,0,24.96409988,0,0,-0.04142369,0,AL
2008,1,63,Alabama,Greene County,-3.692804337,51.92883015,0.019296646,0.002,0,0,0,0,-0.051919445,0,AL
1988,1,65,Alabama,Hale County,-1.900001526,-11.70204282,0.69500351,-0.939999998,0,-8.455833435,0,0,-7.19E-04,0,AL
1992,1,65,Alabama,Hale County,-6.599998474,-3.239317611,0.573461533,2.700000048,1,-9.46267128,0,0,0.042702068,0,AL
1996,1,65,Alabama,Hale County,0.550003052,-7.316824794,-0.409778595,0.423000008,0,-4.557487488,0,0,0.031608656,0,AL
2000,1,65,Alabama,Hale County,-3.130004883,9.88215059,-0.960985184,0,0,-23.73429108,0,0,0.111800112,0,AL
2004,1,65,Alabama,Hale County,2.38999939,-3.095090576,0.777173996,0,0,24.96409988,0,0,-0.022528434,0,AL
2008,1,65,Alabama,Hale County,-2.327316284,96.76843882,0.263624191,0.002,0,0,0,0,0.011579772,0,AL
1988,1,67,Alabama,Henry County,-1.829998016,58.33902359,1.140394211,-0.939999998,0,33.30132294,0,0,-0.001579155,0,AL
1992,1,67,Alabama,Henry County,-10.65000153,23.36326689,1.372076035,2.700000048,1,-0.485710144,0,0,0.03235798,0,AL
1996,1,67,Alabama,Henry County,0.919998169,-6.507156789,0.183832169,0.423000008,0,9.501459122,0,0,0.008234919,0,AL
2000,1,67,Alabama,Henry County,-8.779998779,11.82482019,-0.789690018,0,0,-0.704433441,0,0,0.034823351,0,AL
2004,1,67,Alabama,Henry County,7.259998322,-8.087272197,-0.534622192,0,0,1.548606873,0,0,0.005384239,0,AL
2008,1,67,Alabama,Henry County,-1.53894043,24.54100996,-0.191431046,0.002,0,-19.85070801,0,0,0.011623661,0,AL
1988,1,69,Alabama,Houston County,-2.190002441,28.67141664,0.909828186,-0.939999998,0,33.30132294,0,0,0.040104397,0,AL
1992,1,69,Alabama,Houston County,-7.839996338,17.10267514,1.023551941,2.700000048,1,-0.485710144,0,0,0.040508311,0,AL
1996,1,69,Alabama,Houston County,-0.309997559,20.3515783,-0.483652115,0.423000008,0,9.501459122,0,0,0.028258299,0,AL
2000,1,69,Alabama,Houston County,-3.650001526,9.983555228,0.226705551,0,0,-0.704433441,0,0,0.032381285,0,AL
2004,1,69,Alabama,Houston County,4.430000305,14.97807056,1.301330566,0,0,1.548606873,1,0,0.038855586,0,AL
2008,1,69,Alabama,Houston County,-4.064819336,-11.32928729,-0.847251892,0.002,0,-19.85070801,0,1,0.070127957,0,AL
